row_id;platform;snapchot_date;listing_url;listing_id_platform;currency;discount_flag;price_was;price_current;title_raw;description_raw;brand;model_family;model_variant;size_raw;material_raw;color_raw;hardware_raw;year_raw;made_in_country;condition_raw;wear_notes;platform_authentification_flag;includes_dustbag;includes_box;includes_card_of_certificate;availability_status;serial_number_raw;product_key_core;product_key_extended
R_000001;Farfetch;2026-02-14;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-classic-flap-mini-2000-item-23968984.aspx?storeid=15201;23968984;EUR;0;;6419;Chanel Pre-Owned 2000 mini square Classic Flap shoulder bag;circa 2000, black, satin weave, diamond quilting, leather and chain-link shoulder strap, front flap closure, signature interlocking CC turn-lock fastening, main compartment, internal slip pocket, internal zip-fastening pocket, internal logo stamp, full lining, rear patch pocket, gold-tone hardware;CHANEL;CLASSIC_FLAP;;Mini Square;Satin;Black ;Gold;2000;FRANCE;Good;This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.;1;UNKNOWN;UNKNOWN;1;AVAILABLE;6634910;CHANEL_CLASSIC_FLAP_MINI_SQUARE_SATIN;CHANEL_CLASSIC_FLAP_MINI_SQUARE_SATIN_BLACK_GOLD
R_000002;Farfetch;2026-02-15;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-classic-flap-1998-item-26109415.aspx?storeid=15201;26109415;EUR;0;;7645;Chanel Pre-Owned 1998 Classic Flap shoulder bag;circa 1998, beige, caviar leather, diamond quilting, leather and chain-link shoulder strap, front flap closure, signature interlocking CC turn-lock fastening, main compartment, internal slip pocket, internal zip-fastening pocket, internal logo stamp, rear patch pocket,  gold-tone hardware;CHANEL;CLASSIC_FLAP;;Jumbo ;Caviar Leather;Beige;Gold;1998;FRANCE;Good;This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.;1;1;1;1;AVAILABLE;5063019;CHANEL_CLASSIC_FLAP_JUMBO_CAVIAR;CHANEL_CLASSIC_FLAP_JUMBO_CAVIAR_BEIGE_GOLD
R_000003;Farfetch;2026-02-15;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-classic-flap-1998-item-24515647.aspx?storeid=15201;24515647;EUR;0;;8343;Chanel Pre-Owned 1998 Classic Flap shoulder bag;circa 1998, black, caviar leather, grained texture, diamond quilting, detachable leather and chain-link shoulder strap, signature interlocking CC turn-lock fastening, front flap closure, internal slip pocket, internal zip-fastening pocket, rear patch pocket, internal logo stamp, leather lining, gold-tone hardware;CHANEL;CLASSIC_FLAP;;Jumbo ;Caviar Leather;Black ;Gold;1998;FRANCE;Good;This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.;1;UNKNOWN;UNKNOWN;1;AVAILABLE;5052165;CHANEL_CLASSIC_FLAP_JUMBO_CAVIAR;CHANEL_CLASSIC_FLAP_JUMBO_CAVIAR_BLACK_GOLD
R_000004;Farfetch;2026-02-15;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-classic-flap-mediano-1995-item-19484433.aspx?storeid=15201;19484433;EUR;0;;8343;Chanel Pre-Owned 1995 medium Classic Flap shoulder bag;A timeless design from the maison, the Classic Flap shoulder bag from Chanel is considered the pinnacle of sophistication. Presented in the medium size, it's crafted from black Mademoiselle-quilted caviar leather and finished with refined gold-tone hardware, circa 1995, black, caviar leather, signature Mademoiselle quilting, leather and chain-link shoulder strap, front flap closure, signature interlocking CC turn-lock fastening, main compartment, internal zip-fastening pocket, internal slip pocket, internal signature interlocking CC logo, slip pocket to the rear, gold-tone hardware;CHANEL;CLASSIC_FLAP;;Medium;Caviar Leather;Black ;Gold;1995;FRANCE;Unknown;;1;1;1;1;AVAILABLE;3581293;CHANEL_CLASSIC_FLAP_MEDIUM_CAVIAR;CHANEL_CLASSIC_FLAP_MEDIUM_CAVIAR_BLACK_GOLD
R_000005;Farfetch;2026-02-15;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-classic-flap-square-mini-1992-item-23864459.aspx?storeid=15201;23864459;EUR;0;;5990;Chanel Pre-Owned 1992 mini square Classic Flap shoulder bag;circa 1992, black, satin weave, diamond quilting, leather and chain-link shoulder strap, front flap closure, signature interlocking CC turn-lock fastening, main compartment, internal slip pocket, internal zip-fastening pocket, leather lining, rear patch pocket, gold-tone hardware;CHANEL;CLASSIC_FLAP;;Mini Square;Satin;Black ;Gold;1992;FRANCE;Good;This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.;1;UNKNOWN;UNKNOWN;1;AVAILABLE;1223180;CHANEL_CLASSIC_FLAP_MINI_SQUARE_SATIN;CHANEL_CLASSIC_FLAP_MINI_SQUARE_SATIN_BLACK_GOLD
R_000006;Farfetch;2026-02-15;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-classic-flap-2000-item-30615836.aspx?storeid=15201;30615836;EUR;0;;5091;Chanel Pre-Owned 2000 Classic Flap shoulder bag;circa 2000, black, lambskin, diamond quilting, leather and chain-link shoulder strap, front flap pocket, signature interlocking CC logo, main compartment, internal zip-fastening pocket, internal slip pocket, rear patch pocket, gold-tone hardware;CHANEL;CLASSIC_FLAP;;Mini Rectangular;Sheepskin;Black ;Gold;2000;ITALY;Good;This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.;1;UNKNOWN;UNKNOWN;1;AVAILABLE;6600778;CHANEL_CLASSIC_FLAP_MINI_RECTANGULAR_SHEEPSKIN;CHANEL_CLASSIC_FLAP_MINI_RECTANGULAR_SHEEPSKIN_BLACK_GOLD
R_000007;Farfetch;2026-02-15;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-classic-flap-mini-2003-item-19827349.aspx?storeid=15201;19827349;EUR;0;;11748;Chanel Pre-Owned 2003 mini Classic Flap square shoulder bag;In a beige hue and a diamond-quilted caviar leather construction, this mini Classic Flap shoulder bag from Chanel is a practical choice that exudes the brand's elegance. Note the signature interlocking CC turn-lock fastening in gold-tone hardware, circa 2003, beige, caviar leather, diamond quilting, leather and chain-link shoulder strap, front flap closure, signature interlocking CC turn-lock fastening, main compartment, internal zip-fastening pocket, internal slip pocket, internal signature interlocking CC logo, internal logo stamp, slip pocket to the rear, gold-tone hardware;CHANEL;CLASSIC_FLAP;;Mini Square;Caviar Leather;Beige;Gold;2003;FRANCE;Unknown;;1;UNKNOWN;UNKNOWN;1;AVAILABLE;8514784;CHANEL_CLASSIC_FLAP_MINI_SQUARE_CAVIAR;CHANEL_CLASSIC_FLAP_MINI_SQUARE_CAVIAR_BEIGE_GOLD
R_000008;Farfetch;2026-02-15;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-classic-flap-jumbo-2002-item-22122776.aspx?storeid=15201;22122776;EUR;0;;12599;Chanel Pre-Owned 2002 jumbo Classic Flap shoulder bag;CHANEL’s Classic Flap bag is arguably the label’s most iconic accessory. Gabrielle ‘Coco’ Chanel debuted the innovative design in 1955, breaking the era’s sartorial boundaries by introducing the first of its kind to feature a practical and liberating shoulder strap. It simultaneously manifested the label’s archetypal diamond quilting, while the original Mademoiselle clasp was later replaced by Karl Lagerfeld in the ‘80s with an interlocking CC turn-lock fastening alongside the introduction of the interwoven leather and chain-link strap. This Jumbo sand-beige version is crafted in Caviar leather, circa 2002, sand beige, caviar leather, leather and chain-link shoulder strap, front flap closure, signature interlocking CC turn-lock fastening, main compartment, internal zip-fastening pocket, slip pocket to the rear, gold-tone hardware;CHANEL;CLASSIC_FLAP;;Jumbo ;Caviar Leather;Beige;Gold;2002;FRANCE;Good;This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.;1;UNKNOWN;UNKNOWN;1;AVAILABLE;7136639;CHANEL_CLASSIC_FLAP_JUMBO_CAVIAR;CHANEL_CLASSIC_FLAP_JUMBO_CAVIAR_BEIGE_GOLD
R_000009;Farfetch;2026-02-15;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-jumbo-classic-flap-1991-item-22256996.aspx?storeid=14450;22256996;EUR;0;;13500;Chanel Pre-Owned 1991 Jumbo Classic Flap shoulder bag;CHANEL’s Classic Flap bag is arguably the label’s most iconic accessory. Gabrielle ‘Coco’ Chanel debuted the innovative design in 1955, breaking the era’s sartorial boundaries by introducing the first of its kind to feature a practical and liberating shoulder strap. It simultaneously manifested the label’s archetypal diamond quilting, while the original Mademoiselle clasp was later replaced by Karl Lagerfeld in the ‘80s with an interlocking CC turn-lock fastening alongside the introduction of the interwoven leather and chain-link strap. This gold Jumbo version is crafted in metallic leather and boasts all the heritage signatures, circa 1991, gold-tone, calf leather, metallic finish, diamond quilting, leather and chain-link shoulder strap, front flap closure, internal signature interlocking CC logo, signature interlocking CC turn-lock fastening, main compartment, internal slip pocket, internal zip-fastening pocket, internal logo stamp, slip pocket to the rear, gold-tone hardware;CHANEL;CLASSIC_FLAP;;Jumbo ;Calfskin;Gold;Gold;1991;;Good;This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.;1;UNKNOWN;UNKNOWN;1;AVAILABLE;1883817;CHANEL_CLASSIC_FLAP_JUMBO_CALFSKIN;CHANEL_CLASSIC_FLAP_JUMBO_CALFSKIN_GOLD_GOLD
R_000010;Farfetch;2026-02-17;https://www.farfetch.com/es/shopping/women/chanel-pre-owned-bolso-de-hombro-classic-flap-1992-item-25162425.aspx?storeid=15201;25162425;EUR;0;;6794;Chanel Pre-Owned 1992 Classic Flap shoulder bag;circa 1992, black, lambskin, signature Mademoiselle quilting, leather and chain-link shoulder strap, front flap pocket, signature interlocking CC turn-lock fastening, main compartment, internal slip pocket, internal zip-fastening pocket, internal logo stamp, contrast lining, rear patch pocket, gold-tone hardware;CHANEL;CLASSIC_FLAP;;Medium;Sheepskin;Black ;Gold;1992;FRANCE;Good;This previously owned and used item is in good condition with minimal signs of use. This may include fading of material or plating and scratches.;1;UNKNOWN;UNKNOWN;1;AVAILABLE;2566672;CHANEL_CLASSIC_FLAP_MEDIUM_SHEEPSKIN;CHANEL_CLASSIC_FLAP_MEDIUM_SHEEPSKIN_BLACK_GOLD
